seed,nrf_cophylog,nrf_kmer5,nrf_kmer7,nrf_fusang,time_cophylog,time_kmer5,time_kmer7,time_fusang
100,0.4137055837563452,0.08375634517766498,0.07360406091370558,0.08375634517766498,5.641340732574463,4.430699110031128,4.786724328994751,0.0072438716888427734
101,0.3883248730964467,0.11421319796954314,0.08375634517766498,0.07868020304568528,5.663458585739136,4.457827091217041,4.725538492202759,0.008347272872924805
102,0.4289340101522843,0.0583756345177665,0.06852791878172589,0.07868020304568528,5.630083084106445,4.459059953689575,4.786768913269043,0.007149457931518555
103,0.4137055837563452,0.06345177664974619,0.06852791878172589,0.06852791878172589,5.618569850921631,4.512678623199463,4.78918194770813,0.0068776607513427734
104,0.44416243654822335,0.08883248730964467,0.08375634517766498,0.08375634517766498,5.753718137741089,4.499608039855957,4.782017469406128,0.0072824954986572266
105,0.4289340101522843,0.08375634517766498,0.09898477157360407,0.06852791878172589,5.700960397720337,4.488434791564941,5.001382350921631,0.007030963897705078
106,0.44923857868020306,0.07360406091370558,0.07868020304568528,0.07360406091370558,5.735205411911011,4.603444576263428,4.899662971496582,0.007294654846191406
107,0.3883248730964467,0.07360406091370558,0.06852791878172589,0.06852791878172589,5.713526487350464,4.459924936294556,4.846718072891235,0.0069429874420166016
108,0.44416243654822335,0.09390862944162437,0.09898477157360407,0.09390862944162437,5.695380210876465,4.613956928253174,4.87226676940918,0.0073337554931640625
109,0.4086294416243655,0.06852791878172589,0.08883248730964467,0.06852791878172589,5.766808032989502,4.556241989135742,4.823085069656372,0.0075931549072265625
110,nan,nan,nan,nan,5.685427904129028,4.539373159408569,4.939814805984497,0.0010118484497070312
111,0.4543147208121827,0.3730964467005076,0.3730964467005076,0.06852791878172589,2.568080186843872,3.6192376613616943,4.216470241546631,0.007915019989013672
112,0.4086294416243655,0.08375634517766498,0.09898477157360407,0.08883248730964467,5.803260326385498,4.537911415100098,4.834899187088013,0.007405996322631836
113,0.42385786802030456,0.06345177664974619,0.08375634517766498,0.07360406091370558,5.77385687828064,4.989959716796875,4.964831113815308,0.007417201995849609
114,0.4263959390862944,0.39593908629441626,0.41624365482233505,nan,3.4777157306671143,3.4475884437561035,3.4322409629821777,0.0016815662384033203
115,0.5406091370558376,0.5050761421319797,0.5050761421319797,nan,1.1957459449768066,0.7796719074249268,1.279571771621704,0.0065441131591796875
116,0.4137055837563452,0.08883248730964467,0.07360406091370558,0.06852791878172589,6.669189929962158,5.8423261642456055,5.672611236572266,0.00701594352722168
117,0.4593908629441624,0.46446700507614214,0.46446700507614214,0.06852791878172589,0.3003554344177246,0.556053638458252,0.7388596534729004,0.009158611297607422
118,0.43908629441624364,0.10406091370558376,0.09390862944162437,0.08375634517766498,6.575628042221069,5.406630277633667,5.384759426116943,0.00890803337097168
119,0.4086294416243655,0.09390862944162437,0.09390862944162437,0.10406091370558376,6.253307819366455,4.9356207847595215,5.477200984954834,0.008856534957885742
120,0.44923857868020306,0.06852791878172589,0.07360406091370558,nan,6.191452741622925,4.784095764160156,5.345860958099365,0.0017161369323730469
121,nan,nan,nan,0.5050505050505051,2.4301199913024902,1.9034037590026855,2.168903350830078,0.005652904510498047
122,0.44923857868020306,0.09390862944162437,0.09898477157360407,0.08883248730964467,6.181007623672485,5.098400354385376,5.510483980178833,0.007822513580322266
123,0.4035532994923858,0.09390862944162437,0.09390862944162437,0.08883248730964467,6.416987657546997,7.338863849639893,7.244764566421509,0.008905887603759766
124,0.4086294416243655,0.08375634517766498,0.06345177664974619,0.0583756345177665,7.885101318359375,6.814371347427368,7.569579601287842,0.009935617446899414
125,0.3883248730964467,0.08883248730964467,0.07868020304568528,nan,8.686975479125977,6.628127098083496,7.244995355606079,0.003770589828491211
126,nan,nan,nan,nan,8.442102193832397,6.646939992904663,7.707553148269653,0.0011749267578125
